First Name,Last Name,URL,Email Address,Company,Position,Connected On
Arman,Sadeghi,https://www.linkedin.com/in/arman-sadeghi,arman.sadeghi@example.com,TechoNova,Data Scientist,2022-03-12
Neda,Mohammadi,https://www.linkedin.com/in/neda-mohammadi,neda.mohammadi@example.com,GreenWave,Product Manager,2021-11-05
Hamed,Rezai,https://www.linkedin.com/in/hamed-rezai,hamed.rezai@example.com,BlueEdge,Software Engineer,2020-06-20
Laleh,Farrokh,https://www.linkedin.com/in/laleh-farrokh,laleh.farrokh@example.com,InsightLabs,UX Designer,2019-09-14
Pouya,Karimi,https://www.linkedin.com/in/pouya-karimi,pouya.karimi@example.com,MarketPulse,Sales Lead,2023-01-30
Sara,Azimi,https://www.linkedin.com/in/sara-azimi,sara.azimi@example.com,Cloudix,DevOps Engineer,2022-07-18
Behnam,Zare,https://www.linkedin.com/in/behnam-zare,behnam.zare@example.com,FinSight,Business Analyst,2021-02-25
Mina,Rahimi,https://www.linkedin.com/in/mina-rahimi,mina.rahimi@example.com,HealthNet,Research Associate,2020-12-03
Kian,Shariati,https://www.linkedin.com/in/kian-shariati,kian.shariati@example.com,DataForge,ML Engineer,2023-05-09
Rana,Behzad,https://www.linkedin.com/in/rana-behzad,rana.behzad@example.com,NeoWorks,Content Strategist,2018-08-22
